6
KO,43.91,45.15,45.25,45.87,46.4,46.15,46.82,46.12,47.2,48.48,48.28,48.49,48.48,48.18,48.02
NTDOY,11.58,11.458,11.34,11.278,11.362,11.19,11.168,11.054,11.098,11.05,11,11.052,11.32,11.212,11.372
SPOT,274.79,278.24,261.19,262.8,258.5,268.68,263.23,291.19,276.38,289.62,267.54,268.74,272.5,267.12,262.21
HSY,126.75,127.75,127.88,131.8,132,134.45,136.4,135.51,137.31,138.46,146.33,145.68,146.29,145.73,145.81
AMZN,159.1315,160,155.2,154.2,150.4435,149.995,148.0985,159.842,156.9145,154.9955,149.3275,150.4455,152.7605,150.0165,151.6765
VZ,53.94,54.49,54.45,55.44,55.06,55.78,56.3,55.87,55.84,55.75,55.85,56.85,56.87,57.48,57.45
