3
SONY,14.306,14.788,14.872,14.904,15.366,15.36,15.216,15.636,15.462,15.47,15.284,15.292
MSFT,214.32,213.67,207.07,208.35,208.04,203.92,202.88,211.6,208.75,211.75,202.54,201.3
VZ,53.94,54.49,54.45,55.44,55.06,55.78,56.3,55.87,55.84,55.75,55.85,56.85
